headline,sentiment
"Yen weakens, boosting Japanese exports leads to currency depreciation against the US dollar",Negative
"Yen weakens, boosting Japanese exports leads to increased FDI inflows into India",Positive
Trade war with China escalates leads to increased FDI inflows into India,Positive
Brexit uncertainty impacts global trade reduces demand for Indian exports,Negative
India signs technology transfer agreement with Japan creates opportunities for Indian startups,Positive
Economic slowdown concerns ripple through Asia leads to increased FDI inflows into India,Positive
"Yen weakens, boosting Japanese exports strengthens trade ties between India and key markets",Positive
Bank of Japan announces continued monetary easing leads to cautious optimism among Indian businesses,Neutral
Trade surplus with US increases due to IT exports disrupts supply chains critical for Indian industries,Negative
RBI cuts repo rate to spur growth improves India's economic outlook globally,Positive
Political instability in key economies affects global markets requires India to reassess trade strategies,Neutral
Indian exports benefit from reduced European tariffs has mixed effects on the Indian economy,Neutral
Tech breakthroughs in AI challenge Indian IT dominance causes capital outflows from Indian markets,Negative
Japanese investors focus on Indian infrastrucgit remote add origin https://github.com/hackelite-24/STOCKERS.gitture projects causes capital outflows from Indian markets,Negative
Political instability in key economies affects global markets leads to increased FDI inflows into India,Positive
Export restrictions on rare earth metals announced creates temporary volatility in Indian markets,Neutral
GDP growth exceeds expectations has mixed effects on the Indian economy,Neutral
Energy crisis due to Middle East tensions leads to increased FDI inflows into India,Positive
Corporate tax reforms boost FDI in emerging markets has mixed effects on the Indian economy,Neutral
India signs technology transfer agreement with Japan requires India to reassess trade strategies,Neutral
Tech breakthroughs in AI challenge Indian IT dominance increases inflation risks for the Indian economy,Negative
Political instability in key economies affects global markets disrupts supply chains critical for Indian industries,Negative
Japanese automakers report increased demand from India leads to increased FDI inflows into India,Positive
"Trade deal with Europe signed, bypassing US tariffs improves India's economic outlook globally",Positive
Economic slowdown concerns ripple through Asia leads to cautious optimism among Indian businesses,Neutral
Corporate tax reforms boost FDI in emerging markets strengthens trade ties between India and key markets,Positive
Export restrictions on rare earth metals announced leads to increased FDI inflows into India,Positive
Rupee strengthens against major currencies increases inflation risks for the Indian economy,Negative
Tech giants report record profits leads to increased FDI inflows into India,Positive
RBI cuts repo rate to spur growth creates opportunities for Indian startups,Positive
Tech breakthroughs in AI challenge Indian IT dominance causes capital outflows from Indian markets,Negative
Economic slowdown concerns ripple through Asia leads to currency depreciation against the US dollar,Negative
Trade war with China escalates boosts Indian exports significantly,Positive
Japanese investors focus on Indian infrastructure projects causes capital outflows from Indian markets,Negative
Trade war with China escalates has mixed effects on the Indian economy,Neutral
